

Complete Listing of Engineering Electronics Shop Catalog             Page 1 OF 215         created on : 2018-02-20 18:00:00.390
 (with current #In Stock and Price for each part shown) 

MFG#            |CAT# |DESCRIPTION                                                     |TYPE#           |PRICE   |UNIT    |#IN


Complete Listing of Engineering Electronics Shop Catalog             Page 1 OF 215         created on : 2018-02-20 18:00:03.161
 (with current #In Stock and Price for each part shown) 

MFG#            |CAT# |DESCRIPTION                                                     |TYPE#           |PRICE   |UNIT    |#IN

???             | 2277|RESISTOR METAL OXIDE 270K 1W 5%                                 |270KW1          |   $0.20|EACH    |   8
???             | 2279|RESISTOR METAL OXIDE 270K 2W 5%                                 |270KW2          |   $0.25|EACH    |  10
???             | 2234|RESISTOR METAL OXIDE 27K 2W 5%                                  |27KW2           |   $0.17|EACH    |  10
???             | 8422|RESISTOR METAL OXIDE 3.0 2W 5%                                  |3.0W2           |   $0.17|EACH    |  10
???             | 8486|RESISTOR METAL OXIDE 3.0K 2W 5%                                 |3.0KW2          |   $0.17|EACH    |  14
???             | 8423|RESISTOR METAL OXIDE 3.3 2W 5%                                  |3.3W2           |   $0.21|EACH    |   5
???             | 8370|RESISTOR METAL OXIDE 3.3K 1W 5%                                 |3.3KW1          |   $0.25|EACH    |  10
???             | 2204|RESISTOR METAL OXIDE 3.3K 2W 5%                                 |3.3KW2          |   $0.20|EACH    |  12
???             | 8424|RESISTOR METAL OXIDE 3.6 2W 5%                                  |3.6W2           |   $0.25|EACH    |  11
???             | 8487|RESISTOR METAL OXIDE 3.6K 2W 5%                                 |3.6KW2          |   $0.21|EACH    |   5
???             | 8315|RESISTOR METAL OXIDE 3.9 1W 5%                                  |3.9W1           |   $0.20|EACH    |   2
???             | 8425|RESISTOR METAL OXIDE 3.9 2W 5%                                  |3.9W2           |   $0.24|EACH    |   9
???             | 8488|RESISTOR METAL OXIDE 3.9K 2W 5%                                 |3.9KW2          |   $0.20|EACH    |   3
???             | 8446|RESISTOR METAL OXIDE 30 2W 5%                                   |30W2            |   $0.35|EACH    |   4
???             | 8468|RESISTOR METAL OXIDE 300 2W 5%                                  |300W2           |   $0.17|EACH    |  14
???             | 8517|RESISTOR METAL OXIDE 300K 2W 5%                                 |300KW2          |   $0.21|EACH    |   5
                | 2235|RESISTOR METAL OXIDE 30K 2W 5%                                  |30KW2           |   $0.21|EACH    |   5
ERG-2SJ330      | 2137|RESISTOR METAL OXIDE 33 2W 5%                                   |33W2            |   $0.27|EACH    |   6
???             | 8469|RESISTOR METAL OXIDE 330 2W 5%                                  |330W2           |   $0.17|EACH    |  11
???             | 2284|RESISTOR METAL OXIDE 330K 2W 5%                                 |330KW2          |   $0.21|EACH    |   4
???             | 2239|RESISTOR METAL OXIDE 33K 2W 5%                                  |33KW2           |   $0.20|EACH    |  10
???             | 8447|RESISTOR METAL OXIDE 36 2W 5%                                   |36W2            |   $0.17|EACH    |   3
???             | 8470|RESISTOR METAL OXIDE 360 2W 5%                                  |360W2           |   $0.21|EACH    |   5
???             | 8760|RESISTOR METAL OXIDE 360K 2W 5%                                 |360KW2          |   $0.21|EACH    |   5
???             | 2240|RESISTOR METAL OXIDE 36K 2W 5%                                  |36KW2           |   $0.21|EACH    |   5
RSF100JB-39R    | 8335|RESISTOR METAL OXIDE 39 1W 5%                                   |39W1            |   $0.20|EACH    |  10
???             | 8448|RESISTOR METAL OXIDE 39 2W 5%                                   |39W2            |   $0.21|EACH    |   5
???             | 8471|RESISTOR METAL OXIDE 390 2W 5%                                  |390W2           |   $0.24|EACH    |   8
???             | 8762|RESISTOR METAL OXIDE 390K 2W 5%                                 |390KW2          |   $0.25|EACH    |   5
???             | 2241|RESISTOR METAL OXIDE 39K 2W 5%                                  |39KW2           |   $0.30|EACH    |  10
???             | 8426|RESISTOR METAL OXIDE 4.3 2W 5%                                  |4.3W2           |   $0.24|EACH    |  13
???             | 8489|RESISTOR METAL OXIDE 4.3K 2W 5%                                 |4.3KW2          |   $0.17|EACH    |  12
???             | 8427|RESISTOR METAL OXIDE 4.7 2W 5%                                  |4.7W2           |   $0.25|EACH    |   3
???             | 8490|RESISTOR METAL OXIDE 4.7K 2W 5%                                 |4.7KW2          |   $0.19|EACH    |  12
???             | 8449|RESISTOR METAL OXIDE 43 2W 5%                                   |43W2            |   $0.21|EACH    |   5
???             | 8472|RESISTOR METAL OXIDE 430 2W 5%                                  |430W2           |   $0.21|EACH    |   5
???             | 8761|RESISTOR METAL OXIDE 430K 2W 5%                                 |430KW2          |   $0.21|EACH    |   5
???             | 2246|RESISTOR METAL OXIDE 43K 2W 5%                                  |43KW2           |   $0.21|EACH    |   5
???             | 2141|RESISTOR METAL OXIDE 47 2W 5%                                   |47W2            |   $0.30|EACH    |  12
???             | 8473|RESISTOR METAL OXIDE 470 2W 5%                                  |470W2           |   $0.22|EACH    |   7
???             | 2289|RESISTOR METAL OXIDE 470K 2W 5%                                 |470KW2          |   $0.25|EACH    |   4
???             | 8505|RESISTOR METAL OXIDE 47K 2W 5%                                  |47KW2           |   $0.24|EACH    |  10
???             | 8428|RESISTOR METAL OXIDE 5.1 2W 5%                                  |5.1W2           |   $0.25|EACH    |   5
???             | 8491|RESISTOR METAL OXIDE 5.1K 2W 5%                                 |5.1KW2          |   $0.24|EACH    |  10
???             | 8319|RESISTOR METAL OXIDE 5.6 1W 5%                                  |5.6W1           |   $0.10|EACH    |  20
???             | 8429|RESISTOR METAL OXIDE 5.6 2W 5%                                  |5.6W2           |   $0.25|EACH    |   4
???             | 8492|RESISTOR METAL OXIDE 5.6K 2W 5%                                 |5.6KW2          |   $0.17|EACH    |  12
???             | 8450|RESISTOR METAL OXIDE 51 2W 5%                                   |51W2            |   $0.32|EACH    |  10
???             | 8474|RESISTOR METAL OXIDE 510 2W 5%                                  |510W2           |   $0.21|EACH    |   5
???             | 8518|RESISTOR METAL OXIDE 510K 2W 5%                                 |510KW2          |   $0.17|EACH    |  12
???             | 8506|RESISTOR METAL OXIDE 51K 2W 5%                                  |51KW2           |   $0.17|EACH    |  10
???             | 8451|RESISTOR METAL OXIDE 56 2W 5%                                   |56W2            |   $0.25|EACH    |   5
???             | 8475|RESISTOR METAL OXIDE 560 2W 5%                                  |560W2           |   $0.21|EACH    |   5
???             | 8519|RESISTOR METAL OXIDE 560K 2W 5%                                 |560KW2          |   $0.21|EACH    |   5
???             | 8507|RESISTOR METAL OXIDE 56K 2W 5%                                  |56KW2           |   $0.17|EACH    |  20
???             | 8430|RESISTOR METAL OXIDE 6.2 2W 5%                                  |6.2W2           |   $0.25|EACH    |   4
???             | 2211|RESISTOR METAL OXIDE 6.2K 2W 5%                                 |6.2KW2          |   $0.21|EACH    |   5
???             | 8431|RESISTOR METAL OXIDE 6.8 2W 5%                                  |6.8W2           |   $0.25|EACH    |   4
???             | 2212|RESISTOR METAL OXIDE 6.8K 2W 5%                                 |6.8KW2          |   $0.20|EACH    |  14


Complete Listing of Engineering Electronics Shop Catalog             Page 1 OF 215         created on : 2018-02-20 18:00:03.176
 (with current #In Stock and Price for each part shown) 

MFG#            |CAT# |DESCRIPTION                                                     |TYPE#           |PRICE   |UNIT    |#IN

???             | 8452|RESISTOR METAL OXIDE 62 2W 5%                                   |62W2            |   $0.25|EACH    |  10
???             | 8476|RESISTOR METAL OXIDE 620 2W 5%                                  |620W2           |   $0.21|EACH    |   5
???             | 8520|RESISTOR METAL OXIDE 620K 2W 5%                                 |620KW2          |   $0.21|EACH    |   5
???             | 2251|RESISTOR METAL OXIDE 62K 2W 5%                                  |62KW2           |   $0.21|EACH    |   5
???             | 8453|RESISTOR METAL OXIDE 68 2W 5%                                   |68W2            |   $0.25|EACH    |  14
???             | 2175|RESISTOR METAL OXIDE 680 2W 5%                                  |680W2           |   $0.21|EACH    |   5
???             | 2294|RESISTOR METAL OXIDE 680K 2W 5%                                 |680KW2          |   $0.21|EACH    |   5
???             | 2252|RESISTOR METAL OXIDE 68K 2W 5%                                  |68KW2           |   $0.30|EACH    |  10
???             | 8432|RESISTOR METAL OXIDE 7.5 2W 5%                                  |7.5W2           |   $0.25|EACH    |   4
???             | 8493|RESISTOR METAL OXIDE 7.5K 2W 5%                                 |7.5KW2          |   $0.17|EACH    |   5
???             | 8454|RESISTOR METAL OXIDE 75 2W 5%                                   |75W2            |   $0.25|EACH    |  23
???             | 2179|RESISTOR METAL OXIDE 750 2W 5%                                  |750W2           |   $0.59|EACH    |  13
???             | 8521|RESISTOR METAL OXIDE 750K 2W 5%                                 |750KW2          |   $0.17|EACH    |   5
???             | 8508|RESISTOR METAL OXIDE 75K 2W 5%                                  |75KW2           |   $0.25|EACH    |   5
???             | 8433|RESISTOR METAL OXIDE 8.2 2W 5%                                  |8.2W2           |   $0.25|EACH    |  11
???             | 8494|RESISTOR METAL OXIDE 8.2K 2W 5%                                 |8.2KW2          |   $0.22|EACH    |  13
???             | 8455|RESISTOR METAL OXIDE 82 2W 5%                                   |82W2            |   $0.17|EACH    |   5
???             | 8477|RESISTOR METAL OXIDE 820 2W 5%                                  |820W2           |   $0.21|EACH    |   5
???             | 2299|RESISTOR METAL OXIDE 820K 2W 5%                                 |820KW2          |   $0.59|EACH    |  13
???             | 2257|RESISTOR METAL OXIDE 82K 2W 5%                                  |82KW2           |   $0.30|EACH    |  10
???             | 8434|RESISTOR METAL OXIDE 9.1 2W 5%                                  |9.1W2           |   $0.17|EACH    |  10
???             | 8495|RESISTOR METAL OXIDE 9.1K 2W 5%                                 |9.1KW2          |   $0.21|EACH    |   5
???             | 8456|RESISTOR METAL OXIDE 91 2W 5%                                   |91W2            |   $0.23|EACH    | 132
???             | 8478|RESISTOR METAL OXIDE 910 2W 5%                                  |910W2           |   $0.21|EACH    |   5
???             | 8522|RESISTOR METAL OXIDE 910K 2W 5%                                 |910KW2          |   $0.21|EACH    |   5
???             | 8509|RESISTOR METAL OXIDE 91K 2W 5%                                  |91KW2           |   $0.17|EACH    |  10
?               |14696|RESISTOR METAL OXIDE FILM 68 3W 5%                              |68W3            |   $0.30|EACH    | 142
PR01000102209JR5| 8331|RESISTOR METAL OXIDE W/CERAMIC BODY HIGH-WATTAGE SMALL PKG  22 1|22W1            |   $0.15|EACH    |  98
???             | 8362|RESISTOR MTEAL OXIDE 1.0K 1W 5% AXIAL                           |1.0KW1          |   $0.15|EACH    |  80
4114R-2-103LF   |13695|RESISTOR NETWORK BUSSED DIP14 10K                               |4114R-2-103LF   |   $0.75|EACH    |  17
4116R-1-101LF   | 8204|RESISTOR NETWORK IN/OUT 100 OHM 16 PIN DIP                      |RESNET-IO-100   |   $0.70|EACH    |  20
MDP1603-103G    |  955|RESISTOR NETWORK IN/OUT 10K OHM                                 |RESNET-IO-10K   |   $2.95|EACH    |  25
899-3-R11K      |  963|RESISTOR NETWORK IN/OUT 11K OHM 14PDIP                          |RESNET-IO-11K   |   $2.95|EACH    |   8
16 3 221 331    |  968|RESISTOR NETWORK IN/OUT 14 DIP                                  |RESNET-IO-330   |   $2.50|EACH    |   1
4114R-001-102   |  961|RESISTOR NETWORK IN/OUT 1K 14 DIP                               |RESNET-IO-1K    |   $1.30|EACH    |  10
MDP1603-102G    |  954|RESISTOR NETWORK IN/OUT 1K OHM                                  |RESNET-IO-1K    |   $1.30|EACH    |  18
899-1-R2.4K     |  969|RESISTOR NETWORK IN/OUT 2.4K OHM 14 DIP                         |RESNET-IO-2.4K  |   $1.50|EACH    |   4
MDP1603-221G    |  956|RESISTOR NETWORK IN/OUT 220 OHM                                 |RESNET-IO-220   |   $2.50|EACH    |  24
4116R-002-471   |  957|RESISTOR NETWORK IN/OUT 470 OHM 16PDIP                          |RESNET-IO-470   |   $2.50|EACH    |  58
4114R-001-471   |  958|RESISTOR NETWORK IN/OUT 470 OHMS 14 DIP                         |RESNET-IO-470   |   $2.00|EACH    |   2
4116R-001-681   |  959|RESISTOR NETWORK IN/OUT 680 OHMS 16 DIP                         |RESNET-IO-680   |   $1.35|EACH    |  20
M8340102K75R0   | 8230|RESISTOR NETWORK IN/OUT 75 OHM 16P DIP                          |RESNET-IO-75    |   $0.40|EACH    |  17
4116R-001-821   |  960|RESISTOR NETWORK IN/OUT 820 OHMS 16 DIP                         |RESNET-IO-820   |   $1.35|EACH    |  17
4114R-001-82K   |  977|RESISTOR NETWORK IN/OUT 82K OHM                                 |RESNET-IO-82K   |   $2.50|EACH    |   1
4116R-1-333LF   |10869|RESISTOR NETWORK IN/OUT ISOLATED 16 PDIP 8 RESISTOR 33K         |RESNET-IO-33K   |   $1.00|EACH    |  25
MDP1603-153G    |10827|RESISTOR NETWORK IN/OUT ISOLATED 16 PIN 15K                     |RESNET-IO-15K   |   $2.55|EACH    |   3
MDP1603-203G    |10828|RESISTOR NETWORK IN/OUT ISOLATED 16 PIN 20K                     |RESNET-IO-20K   |   $2.50|EACH    |   5
MDP1603-273G    |10829|RESISTOR NETWORK IN/OUT ISOLATED 16 PIN 27K                     |RESNET-IO-27K   |   $2.45|EACH    |   2
MDP1603-202G    |10825|RESISTOR NETWORK IN/OUT ISOLATED 16 PIN 2K                      |RESNET-IO-2K    |   $1.40|EACH    |   2
MDP1603-512G    |10826|RESISTOR NETWORK IN/OUT ISOLATED 16 PIN 5.1K                    |RESNET-IO-5.1K  |   $2.55|EACH    |   8
4116R-1-104LF   |13694|RESISTOR NETWORK ISOLATED DIP-16 100K                           |4116R-1-104LF   |   $0.50|EACH    |   4
316L08503K      |  964|RESISTOR NETWORK LADDER 8-BIT R/2R                              |316L08503       |   $3.68|EACH    |  18
4116R-002-101   |  949|RESISTOR NETWORK PULL UP 100 OHM                                |4116R-002-101   |   $0.55|EACH    |  14
MDP1601-103G    |  953|RESISTOR NETWORK PULL UP 10K OHM                                |MDP1601-103G    |   $0.91|EACH    |  23
4116R-002-102   | 8920|RESISTOR NETWORK PULL UP 1K OHM                                 |4116R-002-102   |   $0.91|EACH    |  34
MDP1601-221G    |  950|RESISTOR NETWORK PULL UP 220 OHM                                |MDP1601-221G    |   $0.95|EACH    |  19
4116R-2-472LF   | 9329|RESISTOR NETWORK PULL UP 4.7K OHM                               |4116R-2-472-ND  |   $0.80|EACH    |  29
MDP1601-471G    |  951|RESISTOR NETWORK PULL UP 470 OHM                                |MDP1601-471G    |   $0.91|EACH    |  25
??              | 4822|RESISTOR NETWORK SIP 10K PULL-UP 10-PIN 9-RESISTORS             |SIP10K          |   $0.22|EACH    |  22


Complete Listing of Engineering Electronics Shop Catalog             Page 1 OF 215         created on : 2018-02-20 18:00:03.191
 (with current #In Stock and Price for each part shown) 

MFG#            |CAT# |DESCRIPTION                                                     |TYPE#           |PRICE   |UNIT    |#IN

4610X-101-472LF | 4821|RESISTOR NETWORK SIP 4.7K PULL-UP 10-PIN 9-RESISTORS            |SIP4.7K         |   $0.32|EACH    |  56
4610X-101-473   |10420|RESISTOR NETWORK SIP 47K PULL-UP 10-PIN 9-RESISTORS             |SIP47K          |   $0.46|EACH    |  31
1-682G          | 7961|RESISTOR NETWORK SIP 6.8K PULL-UP 10-PIN 9-RESISTORS            |SIP6.8K         |   $0.29|EACH    | 152
4610X-101-102   |11620|RESISTOR NETWORK SIP BUSSED PULL-UP 10-PIN 9-RESISTOR 2% 1K     |SIP1K           |   $0.50|EACH    |  22
EXB-EQ9101J     | 4820|RESISTOR NETWORK SIP BUSSED PULL-UP 10-PIN 9-RESISTORS 2% 100 OH|SIP100          |   $0.25|EACH    |  13
4610X-101-151   | 1321|RESISTOR NETWORK SIP BUSSED PULL-UP 10-PIN 9-RESISTORS 2% 150 OH|SIP150          |   $0.50|EACH    |   9
4610X-101-221   |11619|RESISTOR NETWORK SIP BUSSED PULL-UP 10-PIN 9-RESISTORS 2% 220 OH|SIP220          |   $0.50|EACH    |  11
?               |12596|RESISTOR NETWORK SIP BUSSED PULL-UP 10-PIN 9-RESISTORS 2% 470 OH|SIP470          |   $0.35|EACH    |  19
KS-8512 L9B     | 7953|RESISTOR POWER 10K OHM 20WATT CENTER TAP 5360/4640 OHM          |10K-OHM20WATT   |   $0.60|EACH    |   5
KS-8512 L33B    | 7929|RESISTOR POWER 191 OHM 50 WATT                                  |191-OHM50WATT   |   $4.00|EACH    |   4
KS-8512 L17A    | 7930|RESISTOR POWER 200 OHM 20 WATT                                  |200-OHM20WATT   |   $2.00|EACH    |   3
KS-8512 L50A    | 7931|RESISTOR POWER 261 OHM WITH CENTER TAP AT 130/130 OHM           |261-OHM20WATT   |   $1.50|EACH    |   2
KS8512L39A      | 7911|RESISTOR POWER 30 OHM 50WATT                                    |30-OHM50WATT    |   $4.00|EACH    |   1
KS-8512 L3A     | 7932|RESISTOR POWER 300 OHM 10WATT                                   |300-OHM10WATT   |   $0.95|EACH    |   2
KS-8512 L3C     | 7945|RESISTOR POWER 3090 OHM 5WATT CENTER TAP AT 1470/1620 OHM       |3090-OHM5WATT   |   $0.60|EACH    |   6
KS-8512 L50A    | 7948|RESISTOR POWER 5110 20WATT CENTER TAP AT 2555/2555 OHM          |5110-OHM20WATT  |   $0.80|EACH    |   1
KS-8512 L50A    | 7950|RESISTOR POWER 6960 OHM 20WATT CENTER TAP AT3480/3480 OHM       |6960-OHM20WATT  |   $0.60|EACH    |   2
THS5010RJ       | 8227|RESISTOR POWER ALUMINUM HOUSING 10 OHM 50W 5%                   |10OHM50WATT     |   $3.95|EACH    |   2
24KW-1          | 7851|RESISTOR POWER MINIATURIZED 24K 1W 5% METAL OXIDE               |REP24K1W5%MO    |   $0.22|EACH    |   3
P68W-1          | 7848|RESISTOR POWER MINIATURIZED 68 1W 5% METAL OXIDE                |REP681W5%MO     |   $0.22|EACH    |   1
PWR221-2FC15R0F |14123|RESISTOR POWER THICK FILM 100PPM 15-OHM 50W 1%                  |15R-50W-TO-220  |   $9.96|EACH    |   0
L50J1R0         | 7928|RESISTOR POWER WIREWOUND 1 OHM 50WATT                           |1-OHM50WATT     |   $4.00|EACH    |   6
                | 5565|RESISTOR POWER WIREWOUND 1.0 KOHM 25W                           |RP1.0K25W       |   $1.39|EACH    |   1
                | 5566|RESISTOR POWER WIREWOUND 1.28 KOHM 20W                          |RP1.28K20W      |   $1.39|EACH    |   4
HLW-20-A1Z      | 5556|RESISTOR POWER WIREWOUND 1.2K OHM 20 WATT                       |1.2K20W         |   $0.70|EACH    |   2
KS-8512 L22     | 7937|RESISTOR POWER WIREWOUND 1490 OHM 5WATT                         |1490-OHM5WATT   |   $0.40|EACH    |   1
KS-8512 L1B     | 7938|RESISTOR POWER WIREWOUND 1520 OHM 5WATT                         |1520-OHM5WATT   |   $0.30|EACH    |   1
KS-13657 L2A    | 7939|RESISTOR POWER WIREWOUND 1600 OHM 5WATT                         |1600-OHM5WATT   |   $0.40|EACH    |   6
KS-8512 L8A     | 7940|RESISTOR POWER WIREWOUND 1620 OHM 20WATT                        |1620-OHM20WATT  |   $0.50|EACH    |   4
                | 5551|RESISTOR POWER WIREWOUND 1K OHM 10W                             |RP1K 10W        |   $0.95|EACH    |   1
KS-8512 L2A     | 7941|RESISTOR POWER WIREWOUND 2370 OHM 5WATT                         |2370-OHM5WATT   |   $0.30|EACH    |   1
KS-8512 L3A     | 7943|RESISTOR POWER WIREWOUND 2600 OHM 5WATT                         |2600-OHM5WATT   |   $0.40|EACH    |   2
XKS 8512 L3C    | 7908|RESISTOR POWER WIREWOUND 290 OHM 10WATT                         |29010W          |   $0.90|EACH    |  10
XKS-8512 L3C    | 7944|RESISTOR POWER WIREWOUND 3000 OHM 5WATT                         |3000-OHM5WATT   |   $0.30|EACH    |   9
???             | 5564|RESISTOR POWER WIREWOUND 361 OHM 5WATT                          |RP361 5W        |   $0.50|EACH    |   4
KS-8512 L3C     | 7946|RESISTOR POWER WIREWOUND 3900 OHM 5WATT                         |3900-OHM5WATT   |   $0.40|EACH    |   3
KS-8512 L4A     | 7933|RESISTOR POWER WIREWOUND 402 OHM 10WATT                         |402-OHM10WATT   |   $0.30|EACH    |   5
KS-8512 L50C    | 7947|RESISTOR POWER WIREWOUND 4220 OHM 20WATT                        |4220-OHM20WATT  |   $0.50|EACH    |   1
                | 5549|RESISTOR POWER WIREWOUND 500 OHM 10W                            |RP500 10W       |   $0.95|EACH    |   1
                | 5552|RESISTOR POWER WIREWOUND 500 OHM 20W                            |RP500 20W       |   $1.33|EACH    |   0
KS-8512 L3C     | 7949|RESISTOR POWER WIREWOUND 5245 OHM 5WATT                         |5245-OHM5WATT   |   $0.40|EACH    |   5
KS8512L39       | 7912|RESISTOR POWER WIREWOUND 58 OHM 50 WATT                         |58-OHM50WATT    |   $4.00|EACH    |   4
KS-8512 L50A    | 7934|RESISTOR POWER WIREWOUND 590 OHM 15WATT                         |590-OHM15WATT   |   $0.40|EACH    |   2
RS-10 600       | 5550|RESISTOR POWER WIREWOUND 600 OHM 10W                            |RP600 10W       |   $0.95|EACH    |   1
KS-8512 L10A    | 7935|RESISTOR POWER WIREWOUND 600 OHM 20WATT                         |600-OHM20WATT   |   $0.50|EACH    |   1
KS-8512 L1A     | 7936|RESISTOR POWER WIREWOUND 649 OHM 5WATT                          |649-OHM5WATT    |   $0.40|EACH    |   2
                | 5553|RESISTOR POWER WIREWOUND 650 OHM 20W                            |RP650 20W       |   $1.24|EACH    |   1
???             | 7951|RESISTOR POWER WIREWOUND 7500 OHM 20WATT                        |7500-OHM20WATT  |   $0.60|EACH    |   0
KS-8512 L21A    | 7954|RESISTOR POWER WIREWOUND 90 OHM 20WATT                          |90-OHM20WATT    |   $2.00|EACH    |   4
KS-8512 L50A    | 7952|RESISTOR POWER WIREWOUND 9090 OHM 20WATT                        |9090-OHM20WATT  |   $0.40|EACH    |   1
RH02520R00FE02  |13008|RESISTOR POWER WIREWOUND CHASSIS MT ALUMINUM HOUSING 20OHM 25W 1|20OHM-25W       |   $3.79|EACH    |   0
                | 2539|RESISTOR PRECISION 1.00K 1/4W 1%                                |1.00KP          |   $0.10|EACH    | 807
?               |13601|RESISTOR PRECISION 1.00K 1/4W 1%                                |1.00KP-K        |   $0.10|EACH    |   0
                | 2828|RESISTOR PRECISION 1.00M 1/4W 1%                                |1.00MP          |   $0.10|EACH    | 427
?               |13646|RESISTOR PRECISION 1.00M 1/4W 1%                                |1.00MP-K        |   $0.10|EACH    |   0
                | 2540|RESISTOR PRECISION 1.02K 1/4W 1%                                |1.02KP          |   $0.10|EACH    | 151
                | 2541|RESISTOR PRECISION 1.05K 1/4W 1%                                |1.05KP          |   $0.10|EACH    | 250
                | 2542|RESISTOR PRECISION 1.07K 1/4W 1%                                |1.07KP          |   $0.10|EACH    |   6
                | 2543|RESISTOR PRECISION 1.10K 1/4W 1%                                |1.10KP          |   $0.10|EACH    | 368


Complete Listing of Engineering Electronics Shop Catalog             Page 1 OF 215         created on : 2018-02-20 18:00:03.208
 (with current #In Stock and Price for each part shown) 

MFG#            |CAT# |DESCRIPTION                                                     |TYPE#           |PRICE   |UNIT    |#IN

?               |13602|RESISTOR PRECISION 1.10K 1/4W 1%                                |1.10KP-K        |   $0.03|EACH    |   0
                | 2544|RESISTOR PRECISION 1.13K 1/4W 1%                                |1.13KP          |   $0.10|EACH    |   4
                | 2545|RESISTOR PRECISION 1.15K 1/4W 1%                                |1.15KP          |   $0.10|EACH    | 203
                | 2546|RESISTOR PRECISION 1.18K 1/4W 1%                                |1.18KP          |   $0.10|EACH    |   7
                | 2547|RESISTOR PRECISION 1.21K 1/4W 1%                                |1.21KP          |   $0.18|EACH    |  16
                | 2548|RESISTOR PRECISION 1.24K 1/4W 1%                                |1.24KP          |   $0.10|EACH    |   5
                | 2549|RESISTOR PRECISION 1.27K 1/4W 1%                                |1.27KP          |   $0.10|EACH    |   9
                | 2550|RESISTOR PRECISION 1.30K 1/4W 1%                                |1.30KP          |   $0.10|EACH    |   5
                | 2551|RESISTOR PRECISION 1.33K 1/4W 1%                                |1.33KP          |   $0.10|EACH    |   4
                | 2552|RESISTOR PRECISION 1.37K 1/4W 1%                                |1.37KP          |   $0.10|EACH    |   9
                | 2553|RESISTOR PRECISION 1.40K 1/4W 1%                                |1.40KP          |   $0.10|EACH    |  14
                | 2554|RESISTOR PRECISION 1.43K 1/4W 1%                                |1.43KP          |   $0.10|EACH    | 175
?               |13603|RESISTOR PRECISION 1.43K 1/4W 1%                                |1.43KP-K        |   $0.10|EACH    |   0
                | 2555|RESISTOR PRECISION 1.47K 1/4W 1%                                |1.47KP          |   $0.10|EACH    | 181
                | 2556|RESISTOR PRECISION 1.50K 1/4W 1%                                |1.50KP          |   $0.10|EACH    | 190
                | 2557|RESISTOR PRECISION 1.54K 1/4W 1%                                |1.54KP          |   $0.10|EACH    |   7
                | 2558|RESISTOR PRECISION 1.58K 1/4W 1%                                |1.58KP          |   $0.10|EACH    |  10
                | 2559|RESISTOR PRECISION 1.62K 1/4W 1%                                |1.62KP          |   $0.10|EACH    |  13
                | 2560|RESISTOR PRECISION 1.65K 1/4W 1%                                |1.65KP          |   $0.10|EACH    |  16
                | 2561|RESISTOR PRECISION 1.69K 1/4W 1%                                |1.69KP          |   $0.10|EACH    | 194
                | 2562|RESISTOR PRECISION 1.74K 1/4W 1%                                |1.74KP          |   $0.10|EACH    | 176
?               |13606|RESISTOR PRECISION 1.74K 1/4W 1%                                |1.74KP-K        |   $0.12|EACH    |   0
                | 2563|RESISTOR PRECISION 1.78K 1/4W 1%                                |1.78KP          |   $0.10|EACH    |  13
                | 2564|RESISTOR PRECISION 1.82K 1/4W 1%                                |1.82KP          |   $0.10|EACH    |   5
                | 2565|RESISTOR PRECISION 1.87K 1/4W 1%                                |1.87KP          |   $0.10|EACH    | 197
                | 2566|RESISTOR PRECISION 1.91K 1/4W 1%                                |1.91KP          |   $0.15|EACH    |   8
                | 2567|RESISTOR PRECISION 1.96K 1/4W 1%                                |1.96KP          |   $0.10|EACH    |  10
                | 2347|RESISTOR PRECISION 10.0 1/4W 1%                                 |10.0P           |   $0.10|EACH    |   6
                | 2635|RESISTOR PRECISION 10.0K 1/4W 1%                                |10.0KP          |   $0.10|EACH    | 596
?               |13616|RESISTOR PRECISION 10.0K 1/4W 1%                                |10.0KP-K        |   $0.10|EACH    |   0
                | 2348|RESISTOR PRECISION 10.2 1/4W 1%                                 |10.2P           |   $0.15|EACH    |  13
                | 2636|RESISTOR PRECISION 10.2K 1/4W 1%                                |10.2KP          |   $0.10|EACH    | 198
                | 2349|RESISTOR PRECISION 10.5 1/4W 1%                                 |10.5P           |   $0.10|EACH    |   9
                | 2637|RESISTOR PRECISION 10.5K 1/4W 1%                                |10.5KP          |   $0.15|EACH    |   8
                | 2350|RESISTOR PRECISION 10.7 1/4W 1%                                 |10.7P           |   $0.10|EACH    |   8
                | 2638|RESISTOR PRECISION 10.7K 1/4W 1%                                |10.7KP          |   $0.10|EACH    | 136
?               |13617|RESISTOR PRECISION 10.7K 1/4W 1%                                |10.7KP-K        |   $0.10|EACH    |   0
                | 2443|RESISTOR PRECISION 100 1/4W 1%                                  |100P            |   $0.10|EACH    | 133
                | 2731|RESISTOR PRECISION 100K 1/4W 1%                                 |100KP           |   $0.10|EACH    | 323
?               |13639|RESISTOR PRECISION 100K 1/4W 1%                                 |100KP-K         |   $0.08|EACH    |   0
                | 2444|RESISTOR PRECISION 102 1/4W 1%                                  |102P            |   $0.10|EACH    |  14
                | 2732|RESISTOR PRECISION 102K 1/4W 1%                                 |102KP           |   $0.10|EACH    | 199
                | 2445|RESISTOR PRECISION 105 1/4W 1%                                  |105P            |   $0.10|EACH    |  24
                | 2733|RESISTOR PRECISION 105K 1/4W 1%                                 |105KP           |   $0.10|EACH    | 205
                | 2446|RESISTOR PRECISION 107 1/4W 1%                                  |107P            |   $0.10|EACH    |  15
